Offers_Id,Business_Id,Price,Description,DiscountPercentage,StartDate,EndDate
65,3452254,107,Happy Hour,40,2/6/2023,9/19/2024
66,1117426,99,Discount on meals,15,7/6/2023,10/7/2024
67,5108942,167,Discount on meals,35,6/10/2023,10/7/2024
68,5536697,149,Happy Hour,17,12/29/2023,12/12/2024
69,457167,91,Special Combo,36,9/6/2023,7/20/2024
70,13908302,13,Happy Hour,32,3/9/2023,8/19/2024
71,7803725,126,Happy Hour,21,10/4/2023,12/21/2024
72,12846983,179,Special Combo,32,8/9/2023,5/7/2024
73,424097,31,Buy 1 Get 1,28,2/27/2023,2/6/2024
74,423558,78,Buy 1 Get 1,43,5/13/2023,1/1/2024
75,3624008,148,Happy Hour,36,2/16/2023,6/1/2024
76,423276,15,Special Combo,29,8/5/2023,6/12/2024
77,6405241,182,Buy 1 Get 1,30,9/27/2023,8/20/2024
78,10331964,52,Special Combo,10,5/14/2023,1/17/2024
79,4274973,91,Buy 1 Get 1,40,11/11/2023,10/9/2024
80,15167781,30,Buy 1 Get 1,38,12/4/2023,9/13/2024
81,15809390,111,Happy Hour,31,3/8/2023,4/29/2024
82,14981968,43,Discount on meals,7,1/5/2023,3/10/2024
83,2369044,66,Special Combo,38,7/30/2023,2/5/2024
84,5051395,196,Buy 1 Get 1,27,10/29/2023,10/10/2024
85,459108,77,Happy Hour,5,12/8/2023,12/29/2024
86,656658,39,Special Combo,35,2/21/2023,5/10/2024
87,6762280,39,Discount on meals,16,1/20/2023,4/30/2024
88,423963,60,Happy Hour,31,3/30/2023,9/30/2024
89,5091726,131,Happy Hour,28,9/19/2023,9/12/2024
90,10224329,187,Special Combo,20,4/15/2023,2/26/2024
91,7363868,139,Happy Hour,27,9/21/2023,6/13/2024
92,4548647,90,Happy Hour,7,7/31/2023,12/8/2024
93,16853191,85,Buy 1 Get 1,44,8/18/2023,5/27/2024
94,1109605,53,Discount on meals,41,1/31/2023,4/4/2024
95,10266628,187,Discount on meals,6,4/8/2023,12/30/2024
96,12342560,37,Buy 1 Get 1,14,11/3/2023,5/10/2024
97,425388,45,Discount on meals,45,4/2/2023,5/18/2024
98,10093661,77,Buy 1 Get 1,10,7/26/2023,2/19/2024
99,13214506,102,Special Combo,24,9/11/2023,12/23/2024
100,425517,70,Discount on meals,49,3/10/2023,6/19/2024
101,4824330,134,Special Combo,39,5/8/2023,10/13/2024
102,424113,133,Special Combo,40,11/16/2023,3/6/2024
103,15162181,88,Happy Hour,38,10/7/2023,9/29/2024
104,4729363,93,Happy Hour,45,7/19/2023,1/9/2024
105,1319279,125,Happy Hour,28,6/23/2023,10/14/2024
106,4440213,130,Happy Hour,12,11/2/2023,4/28/2024
107,15273721,197,Happy Hour,47,10/9/2023,7/30/2024
108,12778512,95,Discount on meals,10,4/8/2023,2/27/2024
109,14055861,121,Discount on meals,22,3/26/2023,9/10/2024
110,5108270,93,Buy 1 Get 1,18,4/24/2023,2/14/2024
111,17778947,186,Buy 1 Get 1,19,8/9/2023,8/31/2024
112,12501324,100,Special Combo,32,1/12/2023,6/14/2024
113,15170896,19,Happy Hour,48,2/15/2023,5/30/2024
114,4248173,141,Buy 1 Get 1,28,1/9/2023,12/7/2024
115,3315290,131,Special Combo,38,3/4/2023,9/17/2024
116,11913396,155,Happy Hour,13,2/26/2023,7/27/2024
117,1830370,139,Special Combo,20,6/4/2023,7/20/2024
118,1230435,138,Discount on meals,28,7/12/2023,5/25/2024
119,5090175,104,Special Combo,49,9/1/2023,1/7/2024
120,424597,94,Discount on meals,38,4/18/2023,2/1/2024
121,12374067,160,Happy Hour,14,12/18/2023,3/3/2024
122,3631325,112,Buy 1 Get 1,18,9/1/2023,11/3/2024
123,12347838,167,Buy 1 Get 1,22,6/12/2023,7/27/2024
124,6405873,39,Buy 1 Get 1,27,9/30/2023,1/26/2024
125,17511470,20,Special Combo,37,2/6/2023,4/30/2024
126,2213314,105,Buy 1 Get 1,19,1/18/2023,11/29/2024
127,12117954,120,Discount on meals,29,10/24/2023,9/23/2024
128,1235554,16,Discount on meals,41,11/25/2023,6/17/2024
129,8486899,160,Special Combo,34,5/13/2023,1/15/2024
130,3568377,156,Special Combo,35,7/21/2023,11/6/2024
131,4341551,131,Happy Hour,47,6/11/2023,7/3/2024
132,4416796,181,Happy Hour,16,1/25/2023,2/26/2024
133,11907298,49,Buy 1 Get 1,32,10/31/2023,7/4/2024
134,5086775,183,Special Combo,41,12/18/2023,2/19/2024
135,425905,79,Special Combo,43,6/15/2023,10/8/2024
136,423400,98,Discount on meals,8,3/14/2023,9/7/2024
137,3314664,78,Special Combo,47,4/30/2023,5/27/2024
138,423642,20,Discount on meals,22,6/1/2023,4/1/2024
139,4246953,143,Discount on meals,21,2/1/2023,10/28/2024
140,12706194,30,Buy 1 Get 1,17,6/10/2023,12/19/2024
141,495395,88,Special Combo,47,4/17/2023,8/16/2024
142,13002402,151,Happy Hour,27,2/27/2023,5/4/2024
143,7297570,154,Discount on meals,39,12/18/2023,2/13/2024
144,4280230,41,Special Combo,14,1/26/2023,1/29/2024
145,9608947,66,Buy 1 Get 1,46,6/12/2023,11/16/2024
146,4553888,154,Special Combo,34,1/25/2023,8/5/2024
147,6735055,89,Happy Hour,38,9/17/2023,10/21/2024
148,8696617,88,Buy 1 Get 1,26,4/8/2023,8/5/2024
149,8614685,88,Special Combo,46,1/14/2023,12/8/2024
150,4730456,180,Discount on meals,33,4/26/2023,4/21/2024
151,5327176,102,Discount on meals,14,10/2/2023,11/4/2024
152,423642,194,Discount on meals,8,1/12/2023,3/12/2024
153,9778352,27,Buy 1 Get 1,45,7/14/2023,9/1/2024
154,4409825,116,Happy Hour,27,9/1/2023,4/11/2024
155,2405887,139,Special Combo,48,10/31/2023,3/27/2024
156,4914099,192,Happy Hour,32,10/11/2023,2/15/2024
157,481032,79,Discount on meals,38,8/14/2023,5/18/2024
158,4726633,37,Buy 1 Get 1,42,5/8/2023,1/29/2024
159,12086879,72,Happy Hour,6,8/3/2023,12/11/2024
160,8800684,74,Buy 1 Get 1,47,8/22/2023,11/30/2024
161,5937621,185,Special Combo,45,6/22/2023,6/18/2024
162,1984148,60,Special Combo,26,1/27/2023,6/5/2024
163,15051313,187,Special Combo,44,9/30/2023,12/8/2024
164,519945,107,Happy Hour,16,2/6/2023,7/31/2024
165,6688307,70,Special Combo,8,11/19/2023,3/4/2024
166,2444911,20,Discount on meals,39,10/21/2023,2/6/2024
167,6998045,135,Discount on meals,17,10/6/2023,1/9/2024
168,4457022,115,Buy 1 Get 1,9,8/2/2023,10/30/2024
169,549292,33,Special Combo,36,10/26/2023,8/2/2024
170,16697721,174,Special Combo,11,12/5/2023,6/12/2024
171,4808860,68,Buy 1 Get 1,29,2/21/2023,8/15/2024
172,1441237,71,Discount on meals,42,3/10/2023,3/7/2024
173,12193128,161,Happy Hour,47,8/26/2023,12/13/2024
174,4114332,161,Happy Hour,25,6/15/2023,11/11/2024
175,6354152,35,Discount on meals,16,12/25/2023,1/4/2024
176,11812374,167,Happy Hour,13,5/3/2023,11/16/2024
177,14080068,52,Discount on meals,18,5/10/2023,1/7/2024
178,15163537,184,Special Combo,32,6/8/2023,7/27/2024
179,12669147,174,Discount on meals,23,1/29/2023,10/24/2024
180,4088044,169,Discount on meals,48,11/23/2023,3/16/2024
181,12528835,104,Special Combo,42,2/25/2023,7/1/2024
182,9796968,96,Buy 1 Get 1,42,3/17/2023,11/9/2024
183,6530866,35,Buy 1 Get 1,48,7/6/2023,10/19/2024
184,9581501,123,Buy 1 Get 1,34,4/14/2023,12/1/2024
185,16700384,75,Special Combo,8,8/26/2023,9/22/2024
186,425328,76,Happy Hour,39,5/13/2023,8/6/2024
187,949905,87,Happy Hour,29,11/24/2023,4/30/2024
188,4327350,145,Buy 1 Get 1,21,9/25/2023,7/24/2024
189,5015040,74,Discount on meals,17,12/18/2023,2/9/2024
190,813610,173,Happy Hour,26,6/24/2023,10/22/2024
191,777096,171,Special Combo,40,2/13/2023,2/27/2024
192,423303,81,Buy 1 Get 1,49,6/24/2023,5/31/2024
193,10934435,16,Happy Hour,43,4/11/2023,2/7/2024
194,15612806,189,Discount on meals,47,7/24/2023,9/4/2024
195,11721637,171,Happy Hour,22,11/25/2023,12/22/2024
196,3733387,157,Happy Hour,41,11/15/2023,2/24/2024
197,4923751,16,Special Combo,10,8/25/2023,4/15/2024
198,944977,116,Special Combo,28,12/16/2023,6/19/2024
199,15164678,186,Happy Hour,29,12/17/2023,12/24/2024
200,12207924,104,Buy 1 Get 1,38,1/17/2023,5/27/2024
201,8659417,85,Discount on meals,42,4/28/2023,11/9/2024
202,4433969,57,Discount on meals,45,1/17/2023,1/10/2024
203,4478233,11,Special Combo,13,9/19/2023,1/23/2024
204,5457069,51,Buy 1 Get 1,10,1/10/2023,12/4/2024
205,424397,89,Buy 1 Get 1,11,11/13/2023,9/22/2024
206,2301455,174,Discount on meals,25,4/29/2023,6/26/2024
207,1391498,56,Buy 1 Get 1,25,8/14/2023,9/27/2024
208,1367962,69,Happy Hour,36,11/26/2023,2/4/2024
209,9861812,77,Happy Hour,44,1/8/2023,10/26/2024
210,425416,108,Special Combo,29,5/11/2023,10/5/2024
211,12722586,64,Special Combo,46,10/31/2023,12/13/2024
212,8755484,129,Happy Hour,26,2/5/2023,5/18/2024
213,9846516,115,Happy Hour,34,10/10/2023,8/11/2024
214,6872546,178,Happy Hour,22,3/15/2023,8/28/2024
215,5065998,93,Buy 1 Get 1,26,2/6/2023,12/14/2024
216,15162417,152,Discount on meals,46,1/11/2023,3/16/2024
217,4462125,121,Happy Hour,41,10/17/2023,4/3/2024
218,10110868,28,Buy 1 Get 1,33,8/12/2023,7/6/2024
219,11993819,50,Special Combo,49,12/13/2023,8/26/2024
220,10088937,73,Discount on meals,32,1/12/2023,6/2/2024
221,12515462,43,Happy Hour,6,7/9/2023,1/22/2024
222,533403,177,Buy 1 Get 1,49,9/27/2023,9/21/2024
223,11905782,161,Discount on meals,28,11/18/2023,9/1/2024
224,423841,72,Discount on meals,34,7/24/2023,2/23/2024
225,10486076,99,Discount on meals,21,3/26/2023,1/14/2024
226,424231,79,Happy Hour,30,1/15/2023,2/4/2024
227,4346516,164,Buy 1 Get 1,49,4/30/2023,11/12/2024
228,13369839,97,Discount on meals,20,10/23/2023,4/18/2024
229,12255904,68,Discount on meals,41,10/7/2023,6/4/2024
230,1205020,110,Buy 1 Get 1,41,2/16/2023,7/18/2024
231,425455,72,Happy Hour,6,2/6/2023,6/12/2024
232,3734780,194,Discount on meals,45,4/8/2023,11/12/2024
233,3165138,93,Discount on meals,48,6/18/2023,3/26/2024
234,4417789,38,Buy 1 Get 1,46,8/5/2023,5/20/2024
235,4826815,117,Buy 1 Get 1,12,10/4/2023,8/20/2024
236,4114339,165,Discount on meals,6,3/11/2023,5/20/2024
237,11547987,191,Buy 1 Get 1,48,10/21/2023,6/16/2024
238,1204361,188,Discount on meals,25,2/19/2023,7/29/2024
239,12722839,92,Happy Hour,46,10/7/2023,4/29/2024
240,15074205,180,Special Combo,40,4/30/2023,8/7/2024
241,6759540,30,Happy Hour,6,12/27/2023,3/27/2024
242,2315278,111,Special Combo,18,12/7/2023,9/21/2024
243,3717464,199,Happy Hour,33,3/26/2023,5/1/2024
244,4824899,195,Buy 1 Get 1,42,10/25/2023,1/31/2024
245,2348518,93,Happy Hour,40,11/19/2023,9/25/2024
246,2647568,168,Buy 1 Get 1,27,12/5/2023,3/9/2024
247,550667,147,Special Combo,12,7/31/2023,10/7/2024
248,10043496,12,Buy 1 Get 1,34,10/8/2023,12/14/2024
249,423375,167,Discount on meals,14,9/12/2023,4/18/2024
250,659654,20,Special Combo,37,7/3/2023,9/11/2024
251,2238637,121,Discount on meals,34,12/2/2023,4/3/2024
252,12562530,63,Buy 1 Get 1,10,5/24/2023,6/5/2024
253,4369763,48,Happy Hour,41,3/27/2023,5/5/2024
254,4422266,133,Happy Hour,47,10/17/2023,3/4/2024
255,13163391,39,Buy 1 Get 1,17,10/29/2023,11/24/2024
256,17342162,139,Special Combo,46,12/2/2023,3/25/2024
257,12705932,115,Discount on meals,17,11/11/2023,12/14/2024
258,7722848,114,Special Combo,26,1/8/2023,8/17/2024
259,15175412,85,Discount on meals,29,6/3/2023,4/29/2024
260,4009815,137,Discount on meals,7,11/2/2023,11/8/2024
261,4836059,77,Happy Hour,21,5/23/2023,11/25/2024
262,5031531,37,Buy 1 Get 1,47,5/21/2023,12/12/2024
263,11651431,77,Buy 1 Get 1,35,6/1/2023,8/19/2024
264,3795189,178,Buy 1 Get 1,18,4/28/2023,7/10/2024
265,4065865,29,Happy Hour,10,7/17/2023,2/1/2024
266,14981968,94,Special Combo,13,4/20/2023,11/3/2024
267,1238523,74,Buy 1 Get 1,25,4/13/2023,9/29/2024
268,2446742,17,Buy 1 Get 1,9,8/1/2023,8/22/2024
269,9718196,53,Special Combo,45,9/20/2023,8/13/2024
270,3365041,80,Special Combo,47,4/10/2023,2/26/2024
271,423416,143,Discount on meals,47,7/14/2023,3/12/2024
272,4840256,62,Buy 1 Get 1,5,9/15/2023,7/15/2024
273,424397,42,Discount on meals,46,11/19/2023,5/9/2024
274,10424741,134,Discount on meals,28,12/2/2023,7/16/2024
275,14169577,125,Happy Hour,26,8/15/2023,9/4/2024
276,7075401,25,Happy Hour,18,7/30/2023,11/6/2024
277,13340172,74,Discount on meals,49,3/27/2023,5/28/2024
278,425725,127,Happy Hour,25,2/14/2023,1/5/2024
279,5490944,130,Special Combo,28,1/7/2023,4/10/2024
280,424795,144,Special Combo,38,11/27/2023,8/6/2024
281,3569505,177,Discount on meals,19,12/21/2023,12/21/2024
282,1984268,108,Happy Hour,32,5/23/2023,4/23/2024
283,11744540,151,Happy Hour,11,10/10/2023,5/24/2024
284,457807,131,Special Combo,46,10/29/2023,8/5/2024
285,4479411,127,Special Combo,33,1/27/2023,10/27/2024
286,3489573,66,Discount on meals,38,5/20/2023,4/3/2024
287,13370539,154,Buy 1 Get 1,6,4/26/2023,7/11/2024
288,17370845,70,Discount on meals,49,2/28/2023,3/29/2024
289,3157421,36,Discount on meals,37,5/20/2023,3/24/2024
290,1504829,113,Happy Hour,40,5/31/2023,8/25/2024
291,8011421,87,Discount on meals,16,8/31/2023,7/8/2024
292,4088064,96,Buy 1 Get 1,29,10/30/2023,8/2/2024
293,15173643,45,Discount on meals,9,2/7/2023,10/23/2024
294,4734005,102,Happy Hour,38,2/3/2023,1/18/2024
295,445234,188,Happy Hour,46,8/16/2023,11/21/2024
296,4854872,165,Discount on meals,29,12/22/2023,11/8/2024
297,4839194,112,Buy 1 Get 1,13,4/22/2023,6/29/2024
298,14197183,58,Happy Hour,29,4/14/2023,3/11/2024
299,17803536,26,Buy 1 Get 1,19,7/29/2023,5/11/2024
300,4728345,113,Special Combo,34,2/11/2023,12/23/2024
301,3734316,161,Buy 1 Get 1,16,10/14/2023,3/9/2024
302,4025337,146,Buy 1 Get 1,40,8/14/2023,12/10/2024
303,11799347,195,Special Combo,22,6/9/2023,2/6/2024
304,15165512,116,Buy 1 Get 1,27,3/24/2023,12/16/2024
305,17728769,193,Happy Hour,43,6/20/2023,8/25/2024
306,16948710,19,Buy 1 Get 1,35,1/13/2023,8/2/2024
307,13958055,198,Special Combo,28,6/13/2023,12/14/2024
308,15172614,116,Special Combo,41,6/11/2023,4/18/2024
309,5584464,52,Discount on meals,31,5/21/2023,10/11/2024
310,7314771,172,Discount on meals,20,2/28/2023,9/21/2024
311,2513153,197,Buy 1 Get 1,22,10/27/2023,2/14/2024
312,7800249,76,Special Combo,48,5/2/2023,7/25/2024
313,4797840,87,Special Combo,11,4/22/2023,9/26/2024
314,823977,68,Happy Hour,37,11/6/2023,1/14/2024
315,7312120,96,Buy 1 Get 1,42,5/14/2023,9/20/2024
316,7903406,55,Buy 1 Get 1,36,7/14/2023,12/27/2024
317,3845980,156,Buy 1 Get 1,46,10/29/2023,2/17/2024
318,1998892,110,Discount on meals,33,3/19/2023,7/8/2024
319,425366,196,Special Combo,39,6/18/2023,7/22/2024
320,423834,166,Discount on meals,21,7/12/2023,3/27/2024
321,14175512,107,Happy Hour,45,8/16/2023,7/7/2024
322,4731322,117,Buy 1 Get 1,24,1/2/2023,3/5/2024
323,7200314,28,Happy Hour,26,10/28/2023,4/18/2024
324,4416394,166,Buy 1 Get 1,13,11/4/2023,5/13/2024
325,481121,174,Discount on meals,6,9/11/2023,8/1/2024
326,4915309,77,Buy 1 Get 1,5,6/7/2023,4/2/2024
327,3802653,12,Buy 1 Get 1,19,11/1/2023,11/15/2024
328,423585,171,Buy 1 Get 1,15,12/12/2023,5/16/2024
329,425818,199,Buy 1 Get 1,6,5/23/2023,12/14/2024
330,7231583,136,Happy Hour,47,1/30/2023,3/6/2024
331,3342406,68,Happy Hour,12,8/12/2023,9/12/2024
332,479379,178,Buy 1 Get 1,31,11/23/2023,1/7/2024
333,3792468,62,Buy 1 Get 1,25,3/25/2023,5/8/2024
334,6627588,44,Buy 1 Get 1,16,6/18/2023,4/4/2024
335,457830,47,Special Combo,10,7/27/2023,10/8/2024
336,17620115,45,Discount on meals,23,9/10/2023,11/30/2024
337,12272590,199,Special Combo,15,3/27/2023,10/14/2024
338,4625380,152,Happy Hour,44,3/30/2023,4/4/2024
339,4477848,40,Buy 1 Get 1,23,6/20/2023,6/16/2024
340,7083698,198,Buy 1 Get 1,14,10/28/2023,8/20/2024
341,15092264,179,Happy Hour,44,3/1/2023,1/19/2024
342,4455999,142,Discount on meals,24,3/19/2023,10/17/2024
343,4572089,59,Special Combo,32,6/9/2023,11/14/2024
344,4801170,184,Buy 1 Get 1,9,11/11/2023,4/29/2024
345,4718768,118,Special Combo,16,8/3/2023,2/23/2024
346,17767689,122,Special Combo,21,11/14/2023,9/30/2024
347,641269,100,Special Combo,45,6/30/2023,2/29/2024
348,12526681,110,Happy Hour,8,8/18/2023,11/23/2024
349,494424,68,Discount on meals,5,4/17/2023,9/13/2024
350,14186279,135,Buy 1 Get 1,32,11/19/2023,5/28/2024
351,15197442,106,Special Combo,44,3/24/2023,6/12/2024
352,14162805,111,Buy 1 Get 1,37,12/23/2023,2/13/2024
353,7177534,173,Happy Hour,20,6/27/2023,6/30/2024
354,4635124,128,Discount on meals,7,12/28/2023,5/9/2024
355,4331649,105,Happy Hour,34,11/24/2023,6/17/2024
356,4809101,92,Special Combo,34,8/26/2023,1/16/2024
357,13942649,117,Happy Hour,25,2/2/2023,3/9/2024
358,4341445,197,Buy 1 Get 1,12,10/31/2023,8/12/2024
359,5066093,168,Happy Hour,20,2/18/2023,2/21/2024
360,11604612,193,Discount on meals,23,11/4/2023,5/3/2024
361,13366937,68,Buy 1 Get 1,37,11/25/2023,4/29/2024
362,13292822,30,Discount on meals,16,6/15/2023,5/29/2024
363,10713415,57,Buy 1 Get 1,20,2/25/2023,10/26/2024
364,1391507,94,Buy 1 Get 1,15,12/18/2023,8/13/2024
365,12322983,105,Buy 1 Get 1,45,1/12/2023,9/22/2024
366,4401649,95,Happy Hour,6,10/27/2023,4/19/2024
367,7622342,42,Happy Hour,32,10/2/2023,4/4/2024
368,459100,124,Special Combo,30,3/27/2023,1/20/2024
369,12402006,93,Special Combo,42,3/6/2023,2/23/2024
370,12310070,124,Happy Hour,45,2/11/2023,11/14/2024
371,531995,71,Buy 1 Get 1,33,7/23/2023,6/2/2024
372,9834294,152,Happy Hour,36,3/24/2023,1/14/2024
373,15211416,137,Discount on meals,22,9/9/2023,12/18/2024
374,3645684,72,Buy 1 Get 1,17,7/26/2023,9/26/2024
375,15736184,92,Discount on meals,42,5/28/2023,12/4/2024
376,4734005,104,Special Combo,24,8/2/2023,2/17/2024
377,3737291,20,Special Combo,43,7/2/2023,2/18/2024
378,6558632,42,Happy Hour,32,1/22/2023,7/27/2024
379,457805,29,Special Combo,7,9/5/2023,8/31/2024
380,16867021,141,Buy 1 Get 1,10,3/18/2023,11/16/2024
381,1368153,148,Buy 1 Get 1,7,5/22/2023,1/13/2024
382,13801073,87,Happy Hour,36,6/15/2023,3/25/2024
383,479184,148,Happy Hour,19,2/2/2023,7/11/2024
384,10332631,39,Discount on meals,8,6/22/2023,9/18/2024
385,6511383,102,Happy Hour,44,6/12/2023,7/25/2024
386,8582341,119,Special Combo,5,4/27/2023,7/19/2024
387,3717566,29,Buy 1 Get 1,5,8/18/2023,8/10/2024
388,3793188,175,Discount on meals,43,6/3/2023,10/8/2024
389,479237,191,Buy 1 Get 1,31,1/16/2023,6/22/2024
390,5091900,163,Buy 1 Get 1,39,2/19/2023,3/16/2024
391,527555,26,Buy 1 Get 1,41,2/2/2023,1/29/2024
392,1787407,154,Buy 1 Get 1,9,10/1/2023,4/12/2024
393,497757,61,Happy Hour,7,7/22/2023,10/20/2024
394,4478233,58,Happy Hour,5,3/5/2023,2/26/2024
395,4928096,131,Discount on meals,29,5/21/2023,9/12/2024
396,4730730,65,Buy 1 Get 1,8,5/30/2023,1/29/2024
397,4945380,100,Discount on meals,49,6/7/2023,11/8/2024
398,15173948,84,Special Combo,13,11/13/2023,9/16/2024
399,813650,54,Buy 1 Get 1,14,2/16/2023,2/6/2024
400,2086556,168,Buy 1 Get 1,42,10/2/2023,7/8/2024
401,483515,116,Discount on meals,26,2/9/2023,3/14/2024
402,1149246,132,Special Combo,47,3/2/2023,5/12/2024
403,3420059,166,Discount on meals,13,2/12/2023,8/7/2024
404,3653149,121,Special Combo,40,6/22/2023,11/25/2024
405,3217975,66,Happy Hour,34,12/24/2023,6/24/2024
406,5049549,110,Buy 1 Get 1,24,3/22/2023,8/18/2024
407,5571877,26,Buy 1 Get 1,31,2/23/2023,6/18/2024
408,15163463,22,Happy Hour,21,10/12/2023,10/31/2024
409,17327181,99,Discount on meals,24,5/20/2023,10/30/2024
410,11804883,170,Buy 1 Get 1,16,10/25/2023,4/12/2024
411,4931398,165,Buy 1 Get 1,10,2/25/2023,3/27/2024
412,14783480,104,Happy Hour,7,2/17/2023,4/25/2024
413,425350,52,Special Combo,33,3/21/2023,6/17/2024
414,5429777,172,Buy 1 Get 1,12,3/14/2023,2/8/2024
415,14231676,141,Special Combo,13,12/23/2023,5/25/2024
416,13693426,185,Happy Hour,26,12/13/2023,4/1/2024
417,10531733,42,Discount on meals,42,11/2/2023,3/21/2024
418,8511213,86,Buy 1 Get 1,19,11/18/2023,4/19/2024
419,425858,63,Happy Hour,40,5/11/2023,6/4/2024
420,4764459,173,Discount on meals,35,1/29/2023,9/11/2024
421,4435115,73,Happy Hour,44,2/27/2023,1/3/2024
422,1954519,48,Special Combo,21,4/18/2023,5/9/2024
423,9788438,173,Special Combo,28,6/26/2023,9/20/2024
424,481063,100,Buy 1 Get 1,26,8/31/2023,11/23/2024
425,4476357,144,Buy 1 Get 1,47,11/18/2023,11/24/2024
426,9745380,111,Happy Hour,46,8/6/2023,5/24/2024
427,595420,58,Special Combo,35,12/20/2023,12/29/2024
428,4827813,146,Happy Hour,6,8/15/2023,6/19/2024
429,10546455,58,Discount on meals,37,10/25/2023,9/1/2024
430,4800233,156,Buy 1 Get 1,27,11/10/2023,9/12/2024
431,425476,19,Happy Hour,41,3/1/2023,4/16/2024
432,12875686,108,Discount on meals,16,12/26/2023,4/10/2024
433,2486648,41,Happy Hour,22,10/12/2023,3/20/2024
434,479321,171,Buy 1 Get 1,13,7/11/2023,7/25/2024
435,6938665,57,Buy 1 Get 1,17,3/10/2023,6/22/2024
436,833475,93,Special Combo,33,7/14/2023,7/26/2024
437,13565721,155,Discount on meals,27,8/15/2023,1/2/2024
438,9749792,145,Happy Hour,26,9/22/2023,4/10/2024
